arg-id,argument
A62_1,"seek truth may provide some safety, but we should also"
A61_0,Everyone should list their preference for maintaining their individuality as
A61_1,their preference for maintaining their individuality as we become increasingly
A61_2,maintaining their individuality as we become increasingly connected to AI
A60_0,Predicting as far into the future as possible is critical
A59_0,"AIs potential to help solve major problems related to energy,"
A59_1,"help solve major problems related to energy, health, & planetary"
A58_0,AIs should consider the effect their decisions will have on
A57_0,"Love in the forms of connection, tolerance, caring, and compassion"
A57_1,"forms of connection, tolerance, caring, and compassion are central human"
A56_0,"Values used in training AIs, like those in Anthropic's Constitutional"
A56_1,"training AIs, like those in Anthropic's Constitutional AI, should be"
A56_2,"those in Anthropic's Constitutional AI, should be voted on by"
A55_0,"The development of AI companions is net beneficial to humanity,"
A53_0,"A business imperative (i.e., profits, growth) must not be the"
A53_1,"(i.e., profits, growth) must not be the driving force of"
A52_0,At some point we must consider consciousness/sentience and when AI
A51_0,"How might we incentivize AI for common goods (e.g., better"
A51_1,"incentivize AI for common goods (e.g., better democracy, less pollution,"
A51_2,"common goods (e.g., better democracy, less pollution, improved education) rather"
A50_0,"We must solve for a sustainable, adaptive, & effective global"
A49_0,The epistemic risks of AI are a consequence of how
A49_1,of AI are a consequence of how our social structures
A48_0,AI governance alone is not enough: it is necessary to
A48_1,is not enough: it is necessary to critique both the
A47_0,The issues we are discussing with AI are present in
A46_0,Pol.is is not a deliberation platform: voting on 140 character
A45_0,Truly deliberative and participatory forms of democratic governance require a
A44_0,AI could aid in discovering production/extraction efficiencies (of scarce resources)
A43_0,"AI may perpetuate not only cultural bias, but an ontology"
A43_1,"not only cultural bias, but an ontology that is capitalist/extractive/zero-sum—embedding"
A42_0,Steps must be taken to ensure that future technological developments
A42_1,taken to ensure that future technological developments do not concentrate
A42_2,that future technological developments do not concentrate power in the
A41_0,"In their current level of sophistication, LLMs like ChatGPT do"
A40_0,Overreliance on AI may exacerbate a less skilled & less
A40_1,may exacerbate a less skilled & less engaged citizenry; an
A40_2,less skilled & less engaged citizenry; an agenda should ask
A39_0,It is moral to use the threat of war to
A39_1,to use the threat of war to constrain development of
A38_0,We should encourage nation-states to regulate AIs as if they
A37_0,The most important thing is avoiding the death of the
A37_1,thing is avoiding the death of the human race; everyday
A37_2,the death of the human race; everyday bias from AI
A36_0,Future AI models have the potential to lower expertise barriers
A36_1,have the potential to lower expertise barriers for crafting biological
A35_0,I think the development of AI will relate heavily to
A35_1,development of AI will relate heavily to the cultural shifts
A35_2,will relate heavily to the cultural shifts present in our
A34_0,The use of AI in external and internal facing tools
A33_0,Regulation of AI should be different for companies of different
A33_1,should be different for companies of different sizes.
A32_0,We need more pragmatic and less moralistic discussion on how
A32_1,pragmatic and less moralistic discussion on how to democratize AI
A32_2,"moralistic discussion on how to democratize AI (e.g., public funding"
A31_0,We should discourage any use of AI to generate statements
A31_1,any use of AI to generate statements that look like
A30_0,I am supportive of the pursuit of AI superintelligence as
A30_1,of the pursuit of AI superintelligence as a goal
A29_0,Greater focus should be placed on tackling the near-term risks
A29_1,"be placed on tackling the near-term risks of AI (bias,"
A29_2,"tackling the near-term risks of AI (bias, misinformation, etc.) than"
A28_0,Greater priority should be awarded to educating the public on
A27_0,Companies and institutions should be formally celebrated when they explicitly
A27_1,should be formally celebrated when they explicitly label interactions with
A26_0,Societies need to be preemptive and design for mass unemployment
A26_1,"be preemptive and design for mass unemployment linked to AI,"
A26_2,"design for mass unemployment linked to AI, rather than wait"
A23_0,Governance of AI must pay attention to its material dimensions
A23_1,must pay attention to its material dimensions e.g. its energy
A25_0,The costs of democratisation of developing and deploying AI outweigh
A24_0,I would accept less regulatory scrutiny of AI development and
A24_1,"less regulatory scrutiny of AI development and deployment, if it"
A24_2,"of AI development and deployment, if it meant that AI"
A22_0,Democratisation of the development and deployment of AI is inherently
A22_1,development and deployment of AI is inherently limited if we
A22_2,of AI is inherently limited if we do not also
A21_0,Decisions about how this tech is developed should not lie
A21_1,this tech is developed should not lie solely in the
A20_0,"Institutions, business and governments need to be transparent in the"
A20_1,governments need to be transparent in the ways they use
A19_0,We should be very weary of AI models being trained
A19_1,very weary of AI models being trained on data previously
A19_2,AI models being trained on data previously generated by other
A18_0,The use of AI needs to be embraced within education
A18_1,AI needs to be embraced within education systems to shift
A18_2,be embraced within education systems to shift away from memorisation
A17_0,AI should be embraced for the public good. Private entities
A17_1,embraced for the public good. Private entities controlling either need
A16_0,AI's potential and pitfalls are overstated by AI 'experts'. The
A15_0,AI will create capacity in the labour market as it
A14_0,We need a permanent global deliberative forum for the regulation
A14_1,permanent global deliberative forum for the regulation of AI development.
A14_2,forum for the regulation of AI development.
A13_0,We must be careful not to conflate dangerous 'language hacking'
A13_1,careful not to conflate dangerous 'language hacking' potential of LLMs
A12_0,The ability for frontier AI models to undermine democracy is
A11_0,"Global AI regulation needs to involve civil society, academia, industry"
A11_1,"needs to involve civil society, academia, industry and the open"
A11_2,"civil society, academia, industry and the open source community to"
A10_0,We need global standards in place to evaluate the environmental
A10_1,standards in place to evaluate the environmental impact of AI
A10_2,to evaluate the environmental impact of AI technologies
A9_0,We need to foster better education and awareness of generative
A9_1,"foster better education and awareness of generative AI, it’s potential"
A9_2,"and awareness of generative AI, it’s potential benefits and it’s"
A8_0,Bias in training data is an area that needs to
A8_1,data is an area that needs to be urgently addresses
A7_0,Global AI regulation needs to empower the open source community
A6_0,My work shows that the data used to train AI
A3_0,I am nervous and pessimistic about the current direction of
A4_0,If we had a visual language for explaining AI systems
A4_1,"a visual language for explaining AI systems to stakeholders, they"
A5_0,"We need multiple approaches to governing AI, Focus on one"
A5_1,"approaches to governing AI, Focus on one too much means"
A2_0,Sovereign AI capacity is essential: it cannot just be private
A2_1,is essential: it cannot just be private companies developing AI.
A2_2,cannot just be private companies developing AI.
A1_0,We need a single *international* approach to AI governance -
A0_0,LLMs like ChatGPT and Bard should give the same answers
A0_1,and Bard should give the same answers to prompts in
A0_2,give the same answers to prompts in Pakistan as they
